Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
6,Control block 4,6.4,51114,578,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.9134549656594944,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51115,578,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.4864099037071816,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51116,579,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.048203381877041,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51117,579,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.591394427040454,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51118,579,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.625689704812686,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51119,579,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.12423491064359,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51120,579,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.7934941758014329,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51121,580,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.2659959753997418,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51122,580,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.2668068736360203,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51123,580,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.3494684773883754,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51124,580,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.9001004957698084,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51125,580,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.986482586092569,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51126,581,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.5222326580338965,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51127,581,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.043100783531055,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51128,581,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.820254160356297,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51129,581,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.3597247189493036,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51130,581,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.434945349398301,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51131,582,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.9706954213355647,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51132,582,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.4990045200548074,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51133,582,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.0235931322036445,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51134,582,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.050447436757857,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51135,582,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.548992642588761,prerecorded,open_loop_prerecorded
